CLIENT_NO,LICENCEE,TRADING_NAME,ACN,ABN,POSTAL_STREET,POSTAL_SUBURB,POSTAL_STATE,POSTAL_POSTCODE,CAT_ID,CLIENT_TYPE_ID,FEE_STATUS_ID
261646,NEWCASTLE PORT CORPORATION,PORT AUTHORITY OF NEW SOUTH WALES,,50825884846,PO Box 663,NEWCASTLE,NSW,2300,7,3,1
270141,Department of Community Safety (Queensland Fire and Rescue Service),RFS (Rural Fire Service),,19823962345,20 Pickering St Maintenance Control Services,ALDERLEY,QLD,4051,15,3,3
274240,Embassy of the United States of America,Embassy of the United States of America,,,Embassy of the United States of America Moonah Place,YARRALUMLA,ACT,2600,15,6,3
293206,Kirknie Pty Ltd,Kirknie Pty Ltd,010617062,65010617062,Kirknie Station via,HOME HILL,QLD,4806,1,5,1
316228,THE SCOTS COLLEGE,The Scots College,,86438712994,Glengarry Jacks Corner Rd,KANGAROO VALLEY,NSW,2577,15,6,1
324293,SunWater Limited,SunWater Limited,,17020276523,Accounts Payable PO Box 15536,CITY EAST BRISBANE,QLD,4002,10,3,1
336877,Australian Broadcasting Corporation,Spectrum & Regulatory Strategy,,52429278345,"Attn: Mr Gavin Bowman, Level 12B GPO Box 9994",SYDNEY,NSW,2001,8,6,1
346596,Quicksilver Connections Limited,Quicksilver Connections Ltd,010434269,26010434269,P.O. Box 898,CAIRNS,QLD,4870,15,5,1
362205,Pacific Tug Pty Ltd,Pacific Tug Pty Ltd,010367049,27010367049,PO Box 5245,VICTORIA POINT,QLD,4165,7,5,1
368911,CANTERBURY LEAGUE CLUB LIMITED,CANTERBURY LEAGUE CLUB LIMITED,000191248,84000191248,26 Bridge Road,BELMORE,NSW,2192,14,5,1
379679,Mercy Health And Aged Care Central Queensland Limited,Mercy Health & Aged Care Central Queensland Ltd Mackay,096724033,34096724033,PO Box 214,MACKAY,QLD,4740,12,5,1
388462,Interport Cargo Services Pty Ltd,Interport Cargo Services Pty Ltd,009707028,52009707028,PO Box 377,WYNNUM,QLD,4178,15,5,1
395302,Torbay Retirement Villages Limited,Torbay Aged Care and Retirement Village,010200567,33010200567,PO Box 492,HERVEY BAY,QLD,4655,15,5,1
401054,Airservices Australia,QLD Services,,59698720886,Locked Bag 747 (Attention Spencer Robinson),EAGLE FARM,QLD,4009,10,3,1
417095,SYDNEY LOCAL HEALTH DISTRICT,SYDNEY LOCAL HEALTH DISTRICT,,17520269052,"RPA IM&TD, Bldg 89, Missenden Rd",CAMPERDOWN,NSW,2050,12,3,1
420540,SunWater Limited,IM - Central Region,,17020276523,PO Box 15536,CITY EAST,QLD,4002,1,3,1
430269,ST LUKE'S CARE,St Luke's Care,000009012,16000009012,18 Roslyn St,POTTS POINT,NSW,2011,12,5,1
430572,Jafcorp Pty Ltd,Ross Gray Motor City,010731781,81010731781,PO Box 5584,BUNDABERG WEST,QLD,4670,15,5,1
435100,BUREAU OF METEOROLOGY,Bureau of Meteorology,,92637533532,700 Collins Street,Docklands,VIC,3008,10,2,1
439045,BM ALLIANCE COAL OPERATIONS PTY LIMITED,Bm Alliance Coal Operations Pty Ltd,096412752,67096412752,Level 12 480 Queen Street,BRISBANE,QLD,4000,2,5,1
439072,BM ALLIANCE COAL OPERATIONS PTY LIMITED,Bm Alliance Coal Operations Pty Ltd Dysart,096412752,67096412752,Level 12 480 Queen Street,BRISBANE,QLD,4000,15,5,1
439082,BM ALLIANCE COAL OPERATIONS PTY LIMITED,BMA Coal Operations Pty Ltd Saraji,096412752,67096412752,"Level 12, 480 Queen Street",BRISBANE,QLD,4000,2,5,1
455305,Commex Communications Corporation Pty. Ltd.,Commex Communications Corporation Pty. Ltd.,010905718,30010905718,PO Box 171,GRANGE,QLD,4051,8,5,1
467968,NETWORK TEN (SYDNEY) PTY LIMITED,NETWORK TEN (SYDNEY) PTY LIMITED,008664962,41008664962,GPO Box 10 Attn: Glenn Carrick / Georgia Dowd,SYDNEY,NSW,2001,15,5,1
476492,QANTAS AIRWAYS LIMITED,Qantas Service Delivery Manager,009661901,16009661901,"Managed Services Admin, Motorola Solutions 10 Wesley Court, Tally Ho Business Park",BURWOOD EAST,VIC,3151,15,5,1
484891,BORAL RESOURCES (NSW) PTY LTD,ATTN: Allyson Tamplin,000756507,51000756507,27 Egret Street,KOORAGANG,NSW,2304,15,5,1
485948,B.T.W. Communications Pty. Limited,B.T.W. Communications Pty. Limited,054421304,32054421304,PO Box 1897,PENRITH,NSW,2750,8,5,1
510769,Optus Mobile Pty Limited,Singtel Optus Pty Ltd,054365696,65054365696,PO Box 888,NORTH RYDE,NSW,1670,8,5,1
512112,OPTUS MOBILE PTY LIMITED,Optus Mobile Pty Limited,054365696,65054365696,PO Box 888 (Attn Steve Turner),NORTH RYDE,NSW,1670,15,5,1
514483,ENSHAM RESOURCES PTY. LIMITED,Ensham Resources Pty Ltd,011048678,23011048678,GPO Box 301,BRISBANE,QLD,4001,2,5,1
515835,BRISBANE INDIGENOUS MEDIA ASSOCIATION LTD,4AAA-FM,,88685970963,2 Ambleside Street,WEST END,QLD,4101,15,6,1
516364,State Emergency Service (Nsw),New South Wales State Emergency Service,,88712649015,PO Box 6126,WOLLONGONG,NSW,2500,15,3,3
521072,Department Of Health (Queensland Ambulance Service),Queensland Ambulance Services South,,89519542578,20 Pickering St Maintenance Control Services,ALDERLEY,QLD,4051,12,3,1
525851,NEW SOUTH WALES GOVERNMENT TELECOMMUNICATIONS AUTHORITY,Telco Authority (PSN),,85430594829,"NSWTA Spectrum Management Office Level 10, McKell Building 2-24 Rawson Place",HAYMARKET,NSW,2000,10,3,1
536092,Guildford Rugby League Football & Recreation Club Ltd,Guildford Rugby League Club Ltd,000304585,70000304585,PO Box 21,GUILDFORD,NSW,2161,15,5,1
536353,Vodafone Australia Pty Limited,Vodafone Australia Pty Limited,056161043,86056161043,PO BOX 1113 Att: Ahmed Dawood,NORTH SYDNEY,NSW,2060,8,5,1
536360,Swancage Pty Ltd,Northern Communications,055639015,,PO Box 3009  Lismore Mail Centre,LISMORE,NSW,2480,8,5,1
537746,Torres Pilots Pty Ltd,Torres Pilots Pty Ltd,053843646,71053843646,PO Box 674,BULIMBA,QLD,4171,15,5,1
539042,Deborah's Flowers,Deborah's Flowers,073389321,69073389321,470 Bridge Rd,WEST MACKAY,QLD,4740,6,5,1
549255,Australian Volunteer Coast Guard,Cardwell Flotilla QF23,,,PO Box 284,CARDWELL,QLD,4849,15,6,3
554524,2CR CHINA RADIO NETWORK PTY LTD,2CR CHINA RADIO NETWORK PTY LTD,088287101,39088287101,FL 1  592 Harris St,ULTIMO,NSW,2007,8,5,1
555861,Philcomm Pty Ltd,,054259906,,PO Box 435,SALISBURY,QLD,4107,8,5,1
564292,Skyrail Pty Ltd,Skyrail Cairns,010880458,82010880458,PO Box 888,SMITHFIELD,QLD,4878,15,5,1
567929,SUNSHINE COAST CHRISTIAN BROADCASTERS LTD.,SUNSHINE COAST CHRISTIAN BROADCASTERS LTD.,,88280613828,PO Box 1234,BUDERIM,QLD,4556,8,6,1
572167,Australian Chinese Communications Pty Ltd,Australian Chinese Communications Pty Ltd,058290065,60058290065,Suite 29 Level 2-650 George St,SYDNEY,NSW,2000,15,5,1
572250,Angelo Matsoukas,Radio Symban,,,608 New Canterbury Road,HURLSTONE PARK,NSW,2193,15,7,1
573690,Ian Wells,Kerinvale Comaudio,,78403733800,3a Murchison Street,BILOELA,QLD,4715,8,7,1
1101084,Ramsay Health Care Australia Pty Limited,Greenslopes Private Hospital rrn223700/6,003184889,36003184889,Biomedical Engineering Dept Newdegate Street,GREENSLOPES,QLD,4120,12,5,1
1102518,United Christian Broadcasters Australia Limited,Vision FM,051984402,15051984402,Locked Bag 3,SPRINGWOOD,QLD,4127,8,5,1
1103274,Vodafone Australia Pty Limited,Vodafone Australia Pty Ltd,056161043,86056161043,PO Box 1113 (Jeff.Owen),NORTH SYDNEY,NSW,2060,8,5,1
1103276,Optus Mobile Pty Limited,Optus Mobile Pty Limited,054365696,65054365696,PO Box 888 (Attn Steve Turner),NORTH RYDE,NSW,1670,8,5,1
1103909,AUSTRALIAN BROADCASTING CORPORATION,AUSTRALIAN BROADCASTING CORPORATION,,52429278345,Attn: Mr Gavin Bowman GPO Box 9994,SYDNEY,NSW,2001,15,6,1
1104504,Telstra 3G Spectrum Holdings Pty Ltd,Telstra Wireless Network Engineering 14,094166542,48094166542,Locked Bag 3501 (C/- R Preston),BRISBANE,QLD,4001,8,5,1
1104905,Snowy Hydro Limited,Snowy Hydro Limited,090574431,17090574431,PO Box 332,COOMA,NSW,2630,4,5,1
1130114,Michael Reid,Seismic Surveyors,,,PO Box 3044,CENTRO BANKSTOWN,NSW,2200,15,7,1
1133304,Vodafone Australia Pty Limited,Vodafone Spectrum Licensing,056161043,86056161043,PO Box 1113,NORTH SYDNEY,NSW,2060,,5,1
1133847,SPECIAL BROADCASTING SERVICE CORPORATION,Transmission Services,,91314398574,Locked Bag 028 (C/- A Cremonese),CROWS NEST,NSW,1585,8,2,1
1136599,Redfox Corporation Pty Ltd,MCS INTERNET SERVICES,065626824,95065626824,31 Milton Street,MACKAY,QLD,4740,15,5,1
1136980,Vodafone Hutchison Australia Pty Limited,Vodafone Hutchison Australia Pty Limited,096304620,76096304620,"Level 27, 200 Barangaroo Avenue",Barangaroo,NSW,2000,8,5,1
1137920,Australian Broadcasting Corporation,Spectrum and Regulatory Strategy DIGITAL LICENCES,,52429278345,"Attn: Mr Gavin Bowman, Level 12B GPO Box 9994",SYDNEY,NSW,2001,15,6,1
1138241,ACCOR AUSTRALIA & NEW ZEALAND HOSPITALITY PTY LIMITED,The Pullman Cairns International,002462017,74002462017,PO Box 934,Cairns,QLD,4870,15,5,1
1138584,Mitchell Flor,Mackay Sand and Gravel Sales,,,PO Box 101,MACKAY,QLD,4740,15,7,1
1138660,Tangalooma Pty Ltd,Tangalooma Wild Dolphin Resort,010997707,30010997707,PO Box 1102,EAGLE FARM,QLD,4009,15,5,1
1138796,Marist Brothers St Josephs College,St Joseph's College,,75236399077,1389 Upper Colo Road,UPPER COLO,NSW,2756,11,6,1
1139904,BMS Laser Sat Pty Ltd,BMS Laser Sat Pty Ltd,065170372,13065170372,PO Box 527,AYR,QLD,4807,1,5,1
1140096,THIESS PTY LTD,Att: Steve McMurray,010221486,87010221486,179 Grey Street,South Bank,QLD,4104,2,5,1
1140545,New South Wales Sugar Milling Co Operative Limited,New South Wales Sugar Milling Co-Operative Ltd,,52051052209,117 Pacific Highway,BROADWATER,NSW,2472,1,6,1
1140609,GMG Solutions Pty Ltd,GMG Solutions Pty Ltd,119421313,16119421313,PO Box 1014,ASHMORE CITY,QLD,4214,8,5,1
1141538,BIGAIR GROUP LIMITED,BigAir Group Pty Limited,098572626,57098572626,"Level 17, 333 Ann St",BRISBANE,QLD,4000,8,5,1
1141962,Lipoma Pty Ltd,Ipswich Riverlink,002203581,65002203581,PO Box 2155,NORTH IPSWICH,QLD,4305,6,5,1
1142214,Camp Somerset Pty Ltd,,075466081,,9 Romsey St,WAITARA,NSW,2077,11,5,1
1142834,Department of Transport and Main Roads,Roadtek.,,39407690291,PO Box 964,TOOWOOMBA,QLD,4350,15,3,1
1142879,The Domain Retirement Country Club Pty. Ltd.,Australian Retirement Home,010471815,92010471815,74 Wardoo Street,ASHMORE,QLD,4214,15,5,1
1143185,Jun Lu,Australian Oriental Radio,,,3/24 Calder Road,RYDALMERE,NSW,2116,8,7,1
1143327,Network Ten (Melbourne) Pty Limited,Network Ten (Melbourne) Pty Limited,008664953,39008664953,Network 10 GPO BOX 10,SYDNEY,NSW,2001,15,5,1
1143708,Seventh-Day Adventist Church (Northern Australian Conf.) Ltd,Seventh-Day Adventist Church (Northern Australian Conf.) Ltd,106906530,36106906530,PO Box 51,AITKENVALE,QLD,4814,15,5,1
1144284,Thiess Pty Ltd,Lake Vermont Mine Project,010221486,87010221486,Locked Bag 5,DYSART,QLD,4745,5,5,1
1144303,ST. JOHN AMBULANCE AUSTRALIA INCORPORATED,Technical Services,,83373110633,601-609 Blackburn Road,NOTTING HILL,VIC,3168,12,6,3
1144435,Queensland Bulk Water Supply Authority,Seqwater,,75450239876,PO Box 328,Ipswich,QLD,4305,4,3,1
1144507,Charters Towers Regional Council,Charters Towers Regional Council,,67731313583,PO Box 189,CHARTERS TOWERS,QLD,4820,15,4,1
1144544,Windolf Holdings Pty Ltd,Windolf Holdings Pty Ltd,104019123,12104019123,671 Mt Sylvia Road,GATTON,QLD,4343,1,5,1
1144572,Cassowary Coast Regional Council,Tully Office,,20889787211,PO Box 887,INNISFAIL,QLD,4860,10,4,1
1144573,Cassowary Coast Regional Council,Innisfail Office,,20889787211,PO Box 887,INNISFAIL,QLD,4860,10,4,1
1144588,Rockhampton Regional Council,Fleet Management,,59923523766,PO Box 1860,ROCKHAMPTON,QLD,4700,10,4,1
1144661,Fraser Coast Regional Council,Fraser Coast Regional Council,,19277850689,29-31 Ellengowan Street,URANGAN,QLD,4655,10,4,1
1144665,Bundaberg Regional Council,Att: Ross Orpin,,72427835198,PO Box 3130,BUNDABERG,QLD,4670,10,4,1
1144688,Lockyer Valley Regional Council,Gatton Administration Office,,52673165312,PO Box 82,GATTON,QLD,4343,10,4,1
1144723,Central Highlands Regional Council,Central Highlands Regional Council,,79198223277,PO Box 21,EMERALD,QLD,4720,10,4,1
1144863,HONEYWELL LTD,The Forensic Hospital Malabar,000646882,74000646882,1300 Anzac Parade,MALABAR,NSW,2036,5,5,1
1144992,Digital Radio Broadcasting Brisbane Pty Ltd,Digital Radio Broadcasting Brisbane Pty Ltd,128742950,33128742950,"Attention: Jannie van Deventer, Bentleys Level 29, 66 Goulburn Street",SYDNEY,NSW,2000,15,5,1
1145238,Boral Resources (Nsw) Pty Ltd,Boral Resources (Nsw) Pty Ltd,000756507,51000756507,38 Tabbitta Road,DUNMORE,NSW,2529,2,5,1
1145256,NORSHIP PTY LTD,NORSHIP MARINE,010555549,60010555549,PO Box 6 B,BUNGALOW,QLD,4870,15,5,1
1145304,Victorian Pet Food Processors Pty. Ltd,Victorian Pet Food Processors Pty. Ltd,122068197,46122068197,PO Box 126,CAMPERDOWN,VIC,3260,15,5,1
1146020,Kilcoy Pastoral Company Limited,Kilcoy Pastoral Company Limited,009671112,89009671112,PO Box 84,KILCOY,QLD,4515,3,5,1
1146176,CA & JS Clark,,,,278 Oaky Creek Rd,OAKY CREEK,QLD,4285,15,7,1
1146210,N Abraham & B A Kilby,Barrington Outdoor Adventure Centre,,67949638316,PO Box 20,GLOUCESTER,NSW,2422,15,6,1
1146331,Gladstone Area Water Board,Att: David Nathan,,88409667181,PO Box 466,GLADSTONE,QLD,4680,4,3,1
1146864,National DAB Licence Company Limited,Gavin Bowman,135966326,73135966326,GPO Box 9994,SYDNEY,NSW,2007,15,5,1
1147177,Abbot Point Bulkcoal Pty. Ltd.,Abbot Point Bulkcoal Pty Ltd,010183534,23010183534,PO Box 207,BOWEN,QLD,4805,7,5,1
1147378,Norcomm Pty Ltd,Norcomm Pty Ltd,123428231,70123428231,PO Box 1136,THURINGOWA CENTRAL,QLD,4817,15,5,1
1147602,Volunteer Marine Rescue NSW,Marine Rescue NSW,138078092,98138078092,PO Box 579,CRONULLA,NSW,2230,15,5,3
1147778,Jemena Eastern Gas Pipeline (1) Pty Ltd,Jemena Eastern Gas Pipeline (1) Pty Ltd,068570847,15068570847,PO Box 287,UNANDERRA,NSW,2526,15,5,1
1147832,Middlemount Coal Pty Ltd,Middlemount Coal Pty Ltd,122348412,49122348412,GPO Box 241,BRISBANE,QLD,4001,2,5,1
1148461,Jemena Queensland Gas Pipeline (1) Pty Ltd,,083050284,,PO Box 1655,GLADSTONE,QLD,4680,15,5,1
1148506,Innisfail Taxis Pty Ltd,Innisfail Taxis Pty Ltd,134731016,80134731016,PO Box 1140,INNISFAIL,QLD,4860,7,5,1
1148629,RIEDEL Communications Australia Pty Ltd,RIEDEL Communications Australia Pty Ltd,128794785,14128794785,UNIT 10 26-34 Dunning Avenue,ROSEBERY,NSW,2018,15,5,1
1148652,ACCOR AUSTRALIA & NEW ZEALAND HOSPITALITY PTY LIMITED,Crowne Plaza Hawkesbury Valley,002462017,74002462017,PO Box 18,WINDSOR,NSW,2756,15,5,1
1148654,Cairns Regional Council,Cairns Regional Council Scada (Water/Wastewater Section),,24310025910,Attn: CRC Water/Wastewater SCADA Section 40 Macnamara Street,MANUNDA,QLD,4870,15,4,1
1148749,Godfrey Morgan,G.E Morgan & Company,,94221203692,"""Myall Grove""",CONDAMINE,QLD,4416,1,7,1
1148961,LOGAN CITY COUNCIL,Administration Office,,21627796435,PO Box 3226,LOGAN CITY DC,QLD,4114,10,4,1
1149151,Queensland Rail Limited,Queensland Rail - Attn: D Barbeler,132181090,71132181090,GPO Box 1429,BRISBANE,QLD,4001,15,5,1
1149181,PORT OF BRISBANE PTY LTD,PORT OF BRISBANE PTY LTD,143384749,78143384749,Locked Bag 1818,Port of Brisbane,QLD,4178,7,3,1
1149289,Optus Mobile Pty Limited,Optus Mobile Network (2.1 GHz),054365696,65054365696,PO Box 888 (Attn: Steve Turner),NORTH RYDE,NSW,1670,8,5,1
1149315,HQPLANTATIONS PTY LTD,FORESTRY PLANTATIONS QUEENSLAND,142448977,25142448977,"Lakes Vista Office Parade 3A, 2 Flinders Parade",NORTH LAKES,QLD,4509,1,5,1
1150019,Regional Communications Pty Ltd,Coast FM,005586470,,8C/18 Albert Road,SOUTH MELBOURNE,VIC,3205,8,5,1
1155222,Triple M Brisbane Pty Ltd,Triple M Brisbane Pty Ltd,095320424,67095320424,Level 4 61 Petrie Terrace,BRISBANE,QLD,4000,8,5,1
1155536,Ace Radio Broadcasters Pty Limited,Ace Radio Broadcasters Pty Limited,064882042,16064882042,PO Box 33180,MELBOURNE,VIC,3004,8,5,1
1155542,Community Radio Endeavour Warrnambool Inc.,3 WAY FM,,89701019336,PO Box 752,WARRNAMBOOL,VIC,3280,8,6,1
1155726,WIN Television Qld Pty Ltd,Bald Hills,009697198,95009697198,Locked Bag 8800,SOUTH COAST MAIL CENTRE,NSW,2521,8,5,1
1155730,NETWORK TEN (BRISBANE) PTY LIMITED,Radcoms Licences,050148537,14050148537,GPO BOX 10 Attn: Glenn Carrick / Georgia Dowd,SYDNEY,NSW,2001,8,5,1
1155989,Ethnic Broadcasting Association of Queensland Ltd,Radio 4EB,010049206,56010049206,PO Box 7300,EAST BRISBANE,QLD,4169,8,5,1
1156969,CENTRAL BURNETT COMMUNITY RADIO ASSOCIATION INCORPORATED,CENTRAL BURNETT COMMUNITY RADIO ASSOCIATION INCORPORATED,,97096958864,PO Box 915,GAYNDAH,QLD,4625,8,6,1
1157000,Tablelands Broadcasting Pty Limited,Southern Cross Austereo (Att: Matt Paton),076812523,14076812523,"c/o Southern Cross Austereo Level 2, 101 Moray St",SOUTH MELBOURNE,VIC,3205,15,5,1
1170013,CAMPBELL SCIENTIFIC AUSTRALIA PTY LTD,CAMPBELL SCIENTIFIC AUSTRALIA PTY LTD,060048062,48060048062,411 Bayswater Road,GARBUTT,QLD,4814,6,5,1
1170554,Brisbane FM Radio Pty Ltd,Ninety Seven Point Three,096554317,21096554317,"LG, 40 Mount Street",NORTH SYDNEY,NSW,2060,8,5,1
1170597,Nova Entertainment (UK Radio 2) Pty Ltd,Nova Entertainment (UK Radio 2) Pty Ltd,108282999,,"Attn: Peter Colosimo Level 5, 33 Saunders Street",Pyrmont,NSW,2009,8,5,1
1170617,Rebel FM Stereo Pty Ltd,Rebel FM,010874969,19010874969,PO Box 1730,OXENFORD,QLD,4210,8,5,1
1201443,WICEN (NSW) INC.,Wicen (NSW) Inc,,83747108984,PO Box 6151,Dural DC,NSW,2158,15,6,3
1205046,Forestville RSL CLub Ltd,Forestville RSL CLub Ltd,000970132,15000970132,22 Melwood Avenue,FORESTVILLE,NSW,2087,15,5,1
1206369,CADIA HOLDINGS PTY LIMITED,Cadia Valley Operations,062648006,95062648006,1460 Cadia Road,ORANGE,NSW,2800,15,5,1
1206922,Royal Far West,,000267087,,PO BOX 52,MANLY,NSW,1655,15,6,1
1207435,Stephen McCall,Bodgey Communications,,,PO Box 5244,HEIDELBERG WEST,VIC,3081,8,7,1
1209171,Sydney Water Corporation,Treatment Operations - Attn: Robert Peters,,49776225038,PO Box 399,PARRAMATTA,NSW,2124,15,3,1
1209404,Vertical Telecoms Pty Limited,Vertel Alexandria 14,086050946,90086050946,PO Box 126,ROSEBERY,NSW,2018,8,5,1
1213409,Tx Australia Pty Limited,Tx Australia Pty Ltd,086979339,98086979339,PO Box 135,NORTH RYDE BC,NSW,1670,15,5,1
1214220,ESSENTIAL ENERGY,Attn: Telecommunications Operations,,37428185226,PO Box 5730,PORT MACQUARIE BC,NSW,2444,4,3,1
1216834,Centennial Coal Company Limited,Centennial Newstan,003714538,30003714538,PO Box 1000,TORONTO,NSW,2283,2,5,1
1218650,Star 104.5 Pty Ltd,Star 104.5 Pty Ltd,101607676,66101607676,"Attn: Matt Steadman Level 2, 678 Victoria St",RICHMOND,VIC,3121,15,5,1
1220206,Bathurst Regional Council,Bathurst Regional Council,,42173522302,IT Manager 158 Russell Street,BATHURST,NSW,2795,15,4,1
1220209,Upper Lachlan Shire Council,Upper Lachlan Council,,81011241552,PO Box 42,GUNNING,NSW,2581,15,4,1
1221404,Goulburn Mulwaree Council,Goulburn Mulwaree Council,,84049849319,Locked Bag 22,GOULBURN,NSW,2580,10,4,1
1250824,CESSNOCK DISTRICT RESCUE SQUAD INC,CESSNOCK DISTRICT RESCUE SQUAD INCORPORATED,,46090648735,PO Box 312,CESSNOCK,NSW,2325,15,6,3
1252331,Southern Cross University,Campus Services Supervisor,,41995651524,PO Box 157,LISMORE,NSW,2480,11,6,1
1300578,The Australian Volunteer Coast Guard Association Inc,The Australian Volunteer Coast Guard Association Inc,001273883,,PO Box 64,SANDRINGHAM,VIC,3191,15,6,3
1303007,Terang & Mortlake Health Service,Terang & Mortlake Health Service,,43323722091,PO Box 122,TERANG,VIC,3264,12,3,1
1309940,Hanson Construction Materials Pty Ltd,Hanson Construction Materials Pty Ltd,009679734,90009679734,Locked Bag 4000 (C/-A Cahill),DONCASTER,VIC,3108,5,5,1
1311375,Today FM Brisbane Pty Ltd,Attn: Anthony Hudson,095320415,65095320415,"Level 2, 101 Moray Street",SOUTH MELBOURNE,VIC,3205,8,5,1
1314973,Ergon Energy Telecommunications Pty Ltd,Yurika Telecoms,106459465,34106459465,GPO Box 1461,Brisbane,QLD,4001,15,5,1
1316295,SWOOP TELECOMMUNICATIONS PTY LTD,SWOOP TELECOMMUNICATIONS PTY LTD,109931731,87109931731,PO Box 1745,GOSFORD,NSW,2250,8,5,1
1401904,Hyne & Son Pty. Limited,Hyne Timber,009660995,67009660995,PO Box 106,MARYBOROUGH,QLD,4650,1,5,1
1401916,Department Of Health (Queensland Ambulance Service),Queensland Ambulance Services Exemptions,,89519542578,20 Pickering St Maintenance Control Services,ALDERLEY,QLD,4051,12,3,3
1404142,A G Partridge Pty Ltd,A G Partridge Pty Ltd,059010990,68059010990,300 Eviron Road,EVIRON,NSW,2484,1,5,1
1405412,C S Energy Limited,Callide Power Station,078848745,54078848745,PO Box 392,BILOELA,QLD,4715,4,5,1
1409360,AURIZON NETWORK PTY LTD,QR Networks -CQCN Networks,132181116,78132181116,GPO Box 456 Attn : Scott Andrews,BRISBANE,QLD,4001,15,5,1
1411119,Gold Radio Service Pty. Limited,Radio 4GR  (Att: Matt Paton),009661518,15009661518,"c/o Southern Cross Austereo Level 2, 101 Moray St",South Melbourne,VIC,3205,8,5,1
1412284,Dept of Health Qld,Telecoms Products & Services - Billing Manager,,66329169412,"300 Herston Road Level 10, Block 7, RBWH, Herston Rd",Herston,QLD,4006,12,3,1
1412719,Stanwell Corporation Limited,Stanwell Corporation Limited,078848674,37078848674,GPO Box 800,BRISBANE,QLD,4001,10,5,1
1413278,Tinh Nguyen,Tinh Nguyen,,,27 Wentworth Street,BIRRONG,NSW,2143,8,6,1
1413467,MATER MISERICORDIAE LTD,Mater Private Hospital - Redland,096708922,83096708922,Weippin St,CLEVELAND,QLD,4163,5,5,1
1414657,Robert Carr,,,,8C Hazelwood Drive,POTTSVILLE BEACH,NSW,2489,8,7,1
1415609,Lions Haven for the Aged,Lions Haven for the Aged,010655606,72010655606,9 Pendraat Parade,HOPE ISLAND,QLD,4212,12,5,1
1416226,WESLEY MISSION QUEENSLAND,WESLEY MISSION BRISBANE,,28746881862,930 Gympie Road,CHERMSIDE,QLD,4032,12,6,1
1417380,AVEO HEALTHCARE LIMITED,ATF Cleveland Syndicate,061421565,75061421565,148 Smith Street,CLEVELAND,QLD,4163,12,5,1
1417381,AVEO HEALTHCARE LIMITED,AVEO HEALTHCARE LIMITED,061421565,75061421565,1 Moore St,TARINGA,QLD,4068,14,5,1
1418460,Australian Tamil Broadcasting Corporation Pty Ltd,Australian Tamil Broadcasting Corporation Pty Ltd,099499957,98099499957,P O Box 4787,NORTH ROCKS,NSW,2151,8,5,1
1418731,Magpies Sporting Club Ltd,Magpies Sporting Club Ltd,010182028,52010182028,PO Box 5448,MACKAY MAIL CENTRE,QLD,4741,14,5,1
1419950,Andrew Chapman,Andrew Chapman,,,PO Box 11460,Centenary Heights,QLD,4350,8,7,1
1420699,Warakirri 2 Pty Ltd,Warakirri 2 Pty Ltd,064530454,98064530454,"""Wyobie"" 1238 Jandowae-Macalister Rd",JANDOWAE,QLD,4410,15,5,1
1422253,Network Ten (Brisbane) Pty Limited,Broadcast Licences,050148537,14050148537,Network 10 GPO BOX 10,SYDNEY,NSW,2001,,5,1
1423194,Western Suburbs (N'CLE) Leagues Club Ltd,Western Suburbs (N'CLE) Leagues Club Ltd,000973919,24000973919,PO Box 72,NEW LAMBTON,NSW,2305,14,5,1
1423905,John Nolan,JOHN NOLAN TWO WAY RADIO,,94189914737,PO Box 980,MURWILLUMBAH,NSW,2484,15,7,1
1424008,McConaghy Shopping Centres Pty Ltd,Tamworth Shoppingworld,108357535,91108357535,Bridge St,TAMWORTH,NSW,2340,6,5,1
1424239,Neilsens Quality Gravels Pty Ltd,Neilsens Quality Gravels Pty Ltd,010620916,19010620916,PO Box 5319,BRENDALE,QLD,4500,5,5,1
1424630,SOJITZ MINERVA MINING PTY LTD,SOJITZ MINERVA MINING PTY LTD,108510309,35108510309,GPO Box 1845,EMERALD,QLD,4720,15,5,1
1424647,Rolleston Coal Pty Ltd,Attn: Colin Meek EEM,106690037,73106690037,PO Box 11,SPRINGSURE,QLD,4702,2,5,1
1424960,Master Communications & Electronics Pty Ltd,Mastercom,074042229,87074042229,PO Box 303,GRANVILLE,NSW,2142,15,5,1
1425168,CORONADO CURRAGH PTY LTD,Attention Senior Electrical Supervisior,009362565,90009362565,Curragh Mine PMB,BLACKWATER,QLD,4717,2,5,1
1425181,Arrow Energy Ltd,Arrow Energy Ltd,078521936,73078521936,GPO Box 5262,BRISBANE,QLD,4001,2,5,1
1440623,Auriga Pilots  Pty Ltd,Auriga Pilots  Pty Ltd,079678783,91079678783,PO Box 2654,Fortitude Valley,QLD,4006,15,5,1
1442121,MULPHA HOTEL PTY LTD,Hayman-Shared Services Centre,070662627,17070662627,"FAO Marine MAnager, 1 Raintree Ave",Hayman Island,QLD,4801,15,5,1
1442222,Brothers Leagues Club (Cairns) Ltd,Brothers Leagues Club (Cairns) Ltd,010028181,65010028181,PO Box 425M,MANUNDA,QLD,4870,15,5,1
1442707,Townsville City Council,Water & Wastewater (M Wilkie),,44741992072,2-12 Dalrymple Road,GARBUTT,QLD,4814,10,4,1
1444124,Dept. of Communities (Housing & Homelessness Services),Q-Build Disaster Co-ordination Centre,,86504771740,PO Box 812,CAIRNS,QLD,4870,15,3,3
